번호,상태,컬럼한글명,컬럼영문명,컬럼설명
1,,음식점ID,REST_ID,음식점의 고유번호
2,,음식점명,REST_NM,음식점의 이름
3,,주소,ADDR,주소
4,,상세주소,DADDR,"건물이름, 층(層)수, 호(號)수 등의 정보"
5,,전화번호,TELNO,음식점에 연결 가능한 전화번호
6,,운영시간정보,OPER_HR_INFO,음식점의 운영 시간 정보
7,,업종정보,TOB_INFO,"한식, 중식, 양식, 일식과 같은 업종 정보"
8,,대표메뉴명,RPRS_MENU_NM,전체를 대표하는 메뉴의 이름
9,,위도,LAT,지구 위의 위치를 나타내는 좌표축 중에서 가로로 된 것. 적도를 중심으로 하여 남북으로 평행하게 그은 선
10,,경도,LOT,지구 위의 위치를 나타내는 좌표축 중에서 세로로 된 것. 한 지점의 경도는 그 지점을 지나는 자오선과 런던의 그리니치 천문대를 지나는 본초 자오선이 이루는 각도임
11,,메뉴ID,MENU_ID,음식점과 메뉴를 매칭하기 위한 고유번호
12,,메뉴한글명,MENU_KORN_NM,메뉴의 한글 이름
13,,메뉴영문명,MENU_ENG_NM,메뉴의 영문 이름
14,,메뉴금액,MENU_AMT,메뉴의 가격
15,,메뉴한글추가정보,MENU_KORN_ADD_INFO,메뉴의 한글 추가 정보
16,,메뉴영문추가정보,MENU_ENG_ADD_INFO,메뉴의 영문 추가 정보
17,,소스데이터ID,SD_ID,음식점과 소스데이터를 매칭하기 위한 고유번호
18,,소스데이터명,SD_NM,소스데이터의 이름
19,,소스데이터URL,SD_URL,소스데이터의 URL
20,,소스데이터추가정보,SD_ADD_INFO,소스데이터의 추가 정보
